ZajeciaID,NumerSali,NumerPracownika,TypZajecID,CzasTrwania,DataZajec,Godzina
1,1,WNJEPI5424,8,45,2025-01-14,06:00
2,4,WNROKU2025,8,45,2023-03-19,12:00
3,10,WNMASI7472,8,45,2025-04-15,10:00
4,1,WNAPJA5260,6,45,2024-02-14,16:00
5,2,WNJEPI5424,6,60,2022-06-22,12:00
6,4,WNMOIN4585,7,60,2023-11-19,08:00
7,10,WNROKU2025,3,90,2022-07-20,06:00
8,8,WNJEPI5424,5,75,2023-02-11,10:00
9,2,WNAPJA5260,6,90,2024-08-11,20:00
10,6,WNANMI3025,3,90,2024-03-22,16:00
11,7,WNSAZA3777,3,45,2024-03-14,06:00
12,10,WNRAKL9217,2,45,2022-02-01,16:00
13,10,WNNIRO5838,3,90,2022-02-16,08:00
14,3,WNANMI3025,6,60,2022-10-24,18:00
15,3,WNJEPI5424,1,90,2025-02-09,16:00
16,3,WNROKU2025,3,60,2023-02-09,08:00
17,9,WNMASI7472,6,75,2024-12-21,18:00
18,9,WNRAKL9217,8,45,2025-03-19,16:00
19,2,WNJEPI5424,5,60,2022-07-15,20:00
20,3,WNMOIN4585,3,90,2022-06-10,12:00
21,2,WNBOSZ5230,6,60,2025-10-30,08:00
22,1,WNSAZA3777,7,75,2024-03-15,12:00
23,2,WNMASI7472,1,90,2024-06-28,16:00
24,10,WNNIRO5838,2,75,2025-04-10,18:00
25,10,WNBOSZ5230,8,60,2025-10-27,20:00
26,7,WNAPJA5260,3,45,2024-11-07,16:00
27,2,WNAPJA5260,5,60,2024-10-07,12:00
28,8,WNSAZA3777,3,90,2024-07-09,16:00
29,5,WNMASI7472,1,45,2023-08-28,06:00
30,6,WNROKU2025,6,60,2025-03-05,18:00
31,10,WNRAKL9217,3,90,2025-10-11,18:00
32,2,WNROKU2025,8,45,2024-11-19,20:00
33,3,WNSAZA3777,4,45,2023-09-02,06:00
34,5,WNAPJA5260,3,45,2022-11-03,12:00
35,10,WNMOIN4585,8,75,2025-01-03,06:00
36,1,WNMASI7472,4,90,2024-06-13,12:00
37,5,WNAPJA5260,7,90,2023-03-04,18:00
38,4,WNNIRO5838,6,75,2024-04-18,06:00
39,7,WNNIRO5838,3,60,2024-07-02,18:00
40,2,WNRAKL9217,4,60,2022-02-24,06:00
